Date,Payment,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Revenue
2019-01-05,Ewallet,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,522.83
2019-03-08,Cash,226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,76.4
2019-03-03,Credit card,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,324.31
2019-01-27,Ewallet,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,465.76
2019-02-08,Ewallet,373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,604.17
2019-03-25,Ewallet,699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,597.73
2019-02-25,Ewallet,355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,413.04
2019-02-24,Ewallet,315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,735.6
2019-01-10,Credit card,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,72.52
2019-02-20,Credit card,692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,164.52
2019-02-06,Ewallet,351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,57.92
2019-03-09,Cash,529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,102.04
2019-02-12,Ewallet,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,234.75
2019-02-07,Ewallet,252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,431.9
2019-03-29,Cash,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,713.8
2019-01-15,Cash,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,562.32
2019-03-11,Credit card,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,482.51
2019-01-01,Credit card,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,435.66
2019-01-21,Credit card,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,164.01
2019-03-11,Ewallet,319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,80.6
